Recency,Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,MonetaryMax,TotalQuantity,AvgQuantityPerTransaction,CustomerTenureDays,FirstPurchaseDaysAgo,PreferredDayOfWeek,PreferredHour,PreferredMonth,AvgDaysBetweenPurchases,UniqueProducts,ZeroPriceCount,CancelledTransactions,ReturnRatio,Age,SupportTicketsCount,SatisfactionScore,AgeCategory,SpendingCategory,PreferredTimeOfDay,ChurnRiskCategory,BasketSizeCategory,RegMonth,RegDay,RegWeekday,IP_FirstOctet,RFMSegment_Dormants,RFMSegment_Fidèles,RFMSegment_Potentiels,CustomerType_Nouveau,CustomerType_Occasionnel,CustomerType_Perdu,CustomerType_Régulier,FavoriteSeason_Hiver,FavoriteSeason_Printemps,FavoriteSeason_Été,WeekendPreference_Semaine,WeekendPreference_Weekend,ProductDiversity_Modéré,ProductDiversity_Spécialisé,Gender_Unknown,AccountStatus_Pending,AccountStatus_Suspended,Region_Autre,Region_Europe continentale,Region_UK,Country_TargetEnc,AvgBasketValue,TenureRecencyRatio,CancelPerFreq,SupportBurden,ProdBreadthPerTrans,HighCancelFlag,RegYearsActive,Churn
88,7,2005.63,29.934776119402983,35.43095185809055,178.20000000000002,613,9.149253731343284,286,374,1,9,9,4.2727272727272725,34,0,0,0.0,36.0,3.0,3.0,3,4,1,3,2,12,27,0,156,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3324050632911392,286.5185714285714,0.30662020905923343,0.0,0.010452961672473868,4.25,0,1,0
374,1,489.6,37.66153846153846,28.254373952290948,102.0,190,14.615384615384617,0,374,2,9,12,0.0,13,0,0,0.0,40.0,2.0,4.0,3,2,1,4,2,2,10,2,56,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0.3324050632911392,489.6,374.0,0.0,2.0,6.5,0,1,1
50,3,598.83,19.961,5.365604603268926,39.6,265,8.833333333333334,323,374,1,15,6,11.10344827586207,28,0,0,0.0,28.0,2.0,,2,3,3,2,2,9,17,4,180,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.3324050632911392,199.61,0.15432098765432098,0.0,0.006172839506172839,7.0,0,1,0
39,76,50992.61,186.1044160583941,933.7723490590412,8142.75,32148,117.32846715328468,335,374,1,11,10,1.1465201465201464,46,0,32,0.1167883211678832,,2.0,3.0,0,4,1,2,3,9,28,1,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.3324050632911392,670.9553947368421,0.11607142857142858,0.4155844155844156,0.005952380952380952,0.5974025974025974,1,1,0
261,2,389.44,16.226666666666667,4.731409999113387,27.0,208,8.666666666666666,112,374,2,9,12,4.869565217391305,22,0,0,0.0,,,3.0,0,2,1,4,2,11,25,3,62,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.3324050632911392,194.72,2.309734513274336,0.0,,7.333333333333333,0,1,1
36,18,6416.389999999999,26.73495833333333,50.20159874263217,601.44,2868,11.95,338,374,3,14,10,1.3849372384937235,163,1,4,0.0166666666666666,70.0,2.0,1.0,6,4,3,2,2,9,12,6,116,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3333333333333333,356.4661111111111,0.10619469026548672,0.21052631578947367,0.0058997050147492625,8.578947368421053,0,1,0
3,46,88125.38,81.90091078066915,87.97828932242282,745.0,63012,58.561338289962826,370,374,2,11,12,0.3255813953488372,467,0,113,0.1050185873605948,53.0,4.0,2.0,4,4,1,1,3,9,19,6,181,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.3324050632911392,1915.7691304347827,0.008086253369272238,2.404255319148936,0.01078167115902965,9.936170212765957,1,1,0
218,3,-141.48,-8.32235294117647,21.79515184892381,30.0,-132,-7.764705882352941,155,374,2,10,12,9.6875,12,0,12,0.7058823529411765,,2.0,4.0,0,1,1,4,1,7,28,2,52,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.3324050632911392,-47.16,1.3974358974358974,3.0,0.01282051282051282,3.0,1,1,1
8,3,711.86,25.423571428571428,29.77312934874216,165.0,363,12.964285714285714,366,374,0,9,12,13.51851851851852,25,0,0,0.0,41.0,1.0,5.0,3,3,1,1,2,10,24,6,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.3324050632911392,237.28666666666666,0.021798365122615803,0.0,0.0027247956403269754,6.25,0,1,0
374,1,79.6,79.6,0.0,79.6,8,8.0,0,374,2,10,12,,1,0,0,0.0,,2.0,,0,1,1,4,2,12,6,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.3324050632911392,79.6,374.0,0.0,2.0,0.5,0,1,1
2,81,27487.41,54.86508982035928,50.54074055098437,306.0,16119,32.17365269461078,371,374,2,12,12,0.688,236,0,23,0.0459081836327345,,2.0,5.0,0,4,2,1,3,12,22,2,74,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0.3324050632911392,339.3507407407407,0.005376344086021506,0.2804878048780488,0.005376344086021506,2.8780487804878048,0,1,0
2,52,16945.71,42.47045112781954,55.98517467790531,532.8000000000001,7258,18.19047619047619,371,374,0,14,12,0.8793969849246231,55,0,31,0.0776942355889724,70.0,2.0,4.0,6,4,3,1,3,2,6,5,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.3324050632911392,325.87903846153847,0.005376344086021506,0.5849056603773585,0.005376344086021506,1.0377358490566038,0,1,0
1,13,2894.33,76.16657894736842,82.68118539129574,367.2000000000001,1141,30.026315789473685,372,374,0,10,10,9.91891891891892,27,0,7,0.1842105263157894,19.0,2.0,1.0,1,4,1,1,3,1,1,4,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.3324050632911392,222.64076923076922,0.002680965147453083,0.5,0.005361930294906166,1.9285714285714286,1,1,0
17,10,3465.6700000000005,17.415427135678396,13.9076639976737,60.0,1638,8.231155778894472,357,374,1,12,9,1.7828282828282829,137,0,4,0.0201005025125628,,3.0,1.0,0,4,2,1,2,10,5,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3324050632911392,346.56700000000006,0.04748603351955307,0.36363636363636365,0.008379888268156424,12.454545454545455,0,1,0
8,4,832.88,5.665850340136054,6.137081078919305,40.56,585,3.979591836734694,365,374,3,11,12,2.493150684931507,142,0,0,0.0,61.0,1.0,1.0,5,3,1,1,1,9,16,3,244,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.3324050632911392,208.22,0.02185792349726776,0.0,0.00273224043715847,28.4,0,1,0
31,22,14520.080000000002,46.24229299363058,49.33480116740088,267.6,5545,17.659235668789808,342,374,3,12,3,1.0702875399361025,183,0,6,0.019108280254777,47.0,3.0,5.0,4,4,2,2,3,7,24,5,8,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0.3324050632911392,660.0036363636365,0.09037900874635568,0.2608695652173913,0.008746355685131196,7.956521739130435,0,1,0
374,1,192.6,96.3,114.97556262093264,177.60000000000002,97,48.5,0,374,2,11,12,0.0,2,0,0,0.0,55.0,3.0,2.0,5,2,1,4,3,10,18,0,228,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0.3333333333333333,192.6,374.0,0.0,3.0,1.0,0,1,1
30,8,3054.87,33.943,28.548470411021825,116.0,2077,23.07777777777778,343,374,2,11,12,3.831460674157303,56,0,6,0.0666666666666666,,3.0,3.0,0,4,1,1,3,12,7,1,202,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0.3324050632911392,381.85875,0.0872093023255814,0.6666666666666666,0.00872093023255814,6.222222222222222,0,1,0
109,4,1659.75,276.625,93.4774397916417,408.0,535,89.16666666666667,264,374,3,8,1,52.6,4,0,0,0.0,77.0,2.0,5.0,6,3,1,4,3,1,17,6,140,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0.3324050632911392,414.9375,0.41132075471698115,0.0,0.007547169811320755,0.8,0,1,1
89,6,2995.72,16.642888888888887,7.1135332104509565,50.85,2058,11.433333333333334,284,374,2,9,12,1.5754189944134078,150,0,0,0.0,38.0,3.0,4.0,3,4,1,3,2,11,15,0,171,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.3324050632911392,499.28666666666663,0.312280701754386,0.0,0.010526315789473684,21.428571428571427,0,1,0
374,1,243.28,4.194482758620689,3.4974608194957733,19.05,173,2.9827586206896552,0,374,2,11,12,0.0,51,0,0,0.0,50.0,2.0,1.0,4,2,1,4,1,10,9,5,86,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.3324050632911392,243.28,374.0,0.0,2.0,25.5,0,1,1
4,17,4204.1,6.040373563218392,8.370918354927017,76.5,2516,3.614942528735632,369,374,4,14,12,0.516546762589928,407,0,0,0.0,,3.0,3.0,0,4,3,1,1,11,22,0,72,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.3324050632911392,247.3,0.010810810810810811,0.0,0.008108108108108109,22.61111111111111,0,1,0
34,2,683.13,5.55390243902439,5.618184123261079,35.400000000000006,359,2.9186991869918697,340,374,6,12,11,2.78688524590164,115,0,0,0.0,75.0,,1.0,6,3,2,2,1,10,21,3,122,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.3324050632911392,341.565,0.09970674486803519,0.0,,38.333333333333336,0,1,0
4,3,390.66,27.90428571428572,23.04183209672413,90.0,174,12.428571428571429,369,374,2,13,11,28.384615384615383,13,0,1,0.0714285714285714,39.0,1.0,1.0,3,2,2,1,2,9,17,4,71,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.3324050632911392,130.22,0.010810810810810811,0.25,0.002702702702702703,3.25,0,1,0
374,1,233.45,16.675,1.976472187432018,20.4,111,7.928571428571429,0,374,2,12,12,0.0,14,0,0,0.0,78.0,2.0,1.0,6,2,2,4,2,1,6,2,117,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.3324050632911392,233.45,374.0,0.0,2.0,7.0,0,1,1
330,2,689.9499999999999,23.791379310344823,17.99679569180063,79.2,265,9.137931034482758,43,374,3,15,1,1.5357142857142858,25,0,0,0.0,61.0,2.0,2.0,5,3,3,4,2,3,6,5,211,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.3324050632911392,344.97499999999997,7.5,0.0,0.045454545454545456,8.333333333333334,0,1,1
12,7,3190.55,27.26965811965812,22.17251330891097,102.0,1844,15.760683760683762,361,374,6,15,5,3.0948275862068964,104,0,0,0.0,,3.0,3.0,0,4,3,1,3,8,24,1,182,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0.3324050632911392,455.79285714285714,0.03314917127071823,0.0,0.008287292817679558,13.0,0,1,0
4,60,62653.1,107.09931623931624,105.17001276900676,622.5,61803,105.64615384615384,369,374,3,12,8,0.5941780821917808,369,0,17,0.029059829059829,,3.0,5.0,0,4,2,1,3,10,8,4,108,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0.3324050632911392,1044.2183333333332,0.010810810810810811,0.2786885245901639,0.008108108108108109,6.049180327868853,0,1,0
22,4,1475.02,13.053274336283186,15.413203838782298,91.8,892,7.893805309734513,351,374,3,12,12,3.125,82,0,0,0.0,44.0,3.0,,3,3,2,1,2,1,22,4,160,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.3324050632911392,368.755,0.0625,0.0,0.008522727272727272,16.4,0,1,0
22,28,7904.280000000001,20.16397959183673,14.508505979568442,175.2,5656,14.428571428571429,351,374,3,11,6,0.887468030690537,159,0,4,0.010204081632653,76.0,2.0,4.0,6,4,1,1,2,8,3,1,105,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.3324050632911392,282.2957142857143,0.0625,0.13793103448275862,0.005681818181818182,5.482758620689655,0,1,0
374,1,277.35,3.2629411764705885,2.852236308720635,13.52,160,1.8823529411764703,0,374,2,12,12,0.0,74,0,0,0.0,80.0,1.0,,6,2,2,4,1,10,31,6,226,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.3324050632911392,277.35,374.0,0.0,1.0,37.0,0,1,1
2,18,21086.300000000003,171.43333333333337,452.75777216069145,3254.4,7559,61.45528455284553,372,374,2,12,12,2.9836065573770494,74,0,0,0.0,,2.0,5.0,0,4,2,1,3,12,15,2,89,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.3324050632911392,1171.4611111111112,0.005361930294906166,0.0,0.005361930294906166,3.8947368421052633,0,1,0
173,4,541.1,4.705217391304348,8.761843448168955,79.9,223,1.9391304347826088,200,374,0,11,12,1.7543859649122806,100,0,1,0.008695652173913,45.0,2.0,3.0,4,3,1,4,1,9,11,5,126,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.3324050632911392,135.275,0.8606965174129353,0.2,0.009950248756218905,20.0,0,1,1
24,21,3925.92,9.369737470167063,16.0671952539341,153.0,2075,4.952267303102626,349,374,0,10,11,0.8157894736842105,191,0,1,0.0023866348448687,77.0,3.0,,6,4,1,1,1,11,22,0,241,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.3324050632911392,186.94857142857143,0.06857142857142857,0.045454545454545456,0.008571428571428572,8.681818181818182,0,1,0
243,2,379.73,22.33705882352941,18.437844154315428,91.8,219,12.882352941176473,130,374,0,10,4,8.125,17,0,0,0.0,33.0,1.0,2.0,2,2,1,4,2,8,31,1,48,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.3324050632911392,189.865,1.8549618320610688,0.0,0.007633587786259542,5.666666666666667,0,1,1
57,2,239.92,10.431304347826083,21.67213739183182,79.2,241,10.478260869565217,316,374,3,14,10,14.363636363636363,23,0,0,0.0,32.0,2.0,3.0,2,2,3,2,2,8,18,2,223,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3324050632911392,119.96,0.17981072555205047,0.0,0.006309148264984227,7.666666666666667,0,1,0
40,4,990.8400000000004,47.18285714285715,50.33315379974289,177.60000000000002,610,29.047619047619047,333,374,0,12,10,16.65,18,0,1,0.0476190476190476,,1.0,4.0,0,3,2,2,3,4,11,6,189,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.3324050632911392,247.7100000000001,0.11976047904191617,0.2,0.0029940119760479044,3.6,0,1,0
374,1,313.49000000000007,4.415352112676057,3.77889206400346,19.8,197,2.7746478873239435,0,374,2,12,12,0.0,69,0,0,0.0,79.0,3.0,3.0,6,2,2,4,1,3,19,4,237,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.3324050632911392,313.49000000000007,374.0,0.0,3.0,34.5,0,1,1
1,224,29072.1,6.262839293408013,38.3936798721033,850.5,24210,5.2154243860405,372,374,2,11,11,0.0642102995044171,1769,1,46,0.0099095217578629,,1.0,3.0,0,4,1,1,2,7,17,5,135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.3324050632911392,129.7861607142857,0.002680965147453083,0.20444444444444446,0.002680965147453083,7.862222222222222,0,1,0
54,2,423.04,3.305,2.477535923446622,12.75,231,1.8046875,319,374,0,12,10,2.5118110236220472,110,0,0,0.0,79.0,1.0,3.0,6,2,2,2,1,8,27,4,227,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.3324050632911392,211.52,0.16875,0.0,0.003125,36.666666666666664,0,1,0
186,6,1607.0600000000002,15.0192523364486,5.904255373135322,31.6,928,8.672897196261681,187,374,2,15,1,1.7452830188679245,72,0,0,0.0,,6.0,,0,3,3,4,2,10,17,6,76,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.3324050632911392,267.84333333333336,0.9893617021276596,0.0,0.031914893617021274,10.285714285714286,0,1,1
71,4,226.75,18.89583333333333,3.697939127119155,26.1,95,7.916666666666667,302,373,2,12,4,27.27272727272728,7,0,0,0.0,61.0,2.0,1.0,5,2,2,3,2,9,9,3,163,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0.3324050632911392,56.6875,0.23432343234323433,0.0,0.006600660066006601,1.4,0,1,0
102,6,1049.37,16.144153846153845,32.05769383530982,158.75,310,4.769230769230769,271,373,2,12,6,4.203125,46,0,0,0.0,72.0,1.0,2.0,6,3,2,4,1,3,12,4,193,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.3324050632911392,174.89499999999998,0.375,0.0,0.003676470588235294,6.571428571428571,0,1,1
46,4,2030.33,50.75825,53.16003761683278,179.0,959,23.975,327,373,1,9,4,8.35897435897436,35,0,1,0.025,69.0,2.0,3.0,6,4,1,2,3,11,27,5,42,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.3324050632911392,507.5825,0.1402439024390244,0.2,0.006097560975609756,7.0,0,1,0
1,12,3817.08,16.45293103448276,7.674131620825337,41.6,2040,8.793103448275861,372,373,1,13,6,1.593073593073593,129,0,2,0.0086206896551724,,2.0,3.0,0,4,2,1,2,6,21,0,48,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0.2631578947368421,318.09,0.002680965147453083,0.15384615384615385,0.005361930294906166,9.923076923076923,0,1,0
2,4,811.02,4.5056666666666665,4.749451259100343,29.85,414,2.3,371,373,2,14,12,2.0670391061452515,133,0,2,0.0111111111111111,,0.0,5.0,0,3,3,1,1,5,15,5,192,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.3324050632911392,202.755,0.005376344086021506,0.4,0.0,26.6,0,1,0
373,1,161.00000000000003,17.888888888888893,6.67845312262586,33.9,38,4.222222222222222,0,373,2,13,12,0.0,9,0,0,0.0,54.0,3.0,2.0,4,2,2,4,1,7,23,4,113,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0.3324050632911392,161.00000000000003,373.0,0.0,3.0,4.5,0,1,1
71,4,800.24,23.536470588235293,42.11564107940673,181.25,407,11.970588235294118,302,373,2,13,12,9.12121212121212,33,0,0,0.0,68.0,2.0,2.0,6,3,2,3,2,4,29,3,121,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.3324050632911392,200.06,0.23432343234323433,0.0,0.006600660066006601,6.6,0,1,0
30,3,2575.0,29.94186046511628,30.769113371600728,204.0,1306,15.186046511627907,343,373,2,14,11,4.023529411764706,59,0,0,0.0,,4.0,4.0,0,4,3,1,3,12,12,6,147,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3324050632911392,858.3333333333334,0.0872093023255814,0.0,0.011627906976744186,14.75,0,1,0
1,7,13375.87,31.847309523809525,27.0369316523465,203.52,11071,26.35952380952381,372,373,2,13,12,0.883054892601432,219,0,0,0.0,38.0,3.0,2.0,3,4,2,1,3,7,20,1,210,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1910.8385714285716,0.002680965147453083,0.0,0.00804289544235925,27.375,0,1,0
185,5,493.67,18.98730769230769,13.03412031790172,50.85,246,9.461538461538462,188,373,2,10,6,7.48,18,0,1,0.0384615384615384,26.0,3.0,2.0,2,2,1,4,2,9,25,5,40,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.3324050632911392,98.73400000000001,0.9788359788359788,0.16666666666666666,0.015873015873015872,3.0,0,1,1
373,1,115.65,23.130000000000003,4.628660713424566,25.200000000000003,51,10.2,0,373,2,13,12,0.0,5,0,0,0.0,,1.0,3.0,0,2,2,4,2,6,10,3,179,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0.3324050632911392,115.65,373.0,0.0,1.0,2.5,0,1,1
36,5,1198.23,17.88402985074627,5.997743024924862,50.400000000000006,441,6.582089552238806,337,373,4,13,4,5.075757575757576,61,0,0,0.0,35.0,1.0,1.0,3,3,2,2,2,7,13,1,124,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0.3324050632911392,239.64600000000002,0.10650887573964497,0.0,0.0029585798816568047,10.166666666666666,0,1,0
8,12,2888.7500000000005,67.18023255813955,69.31763942647582,232.0,1343,31.232558139534884,365,373,1,13,4,8.547619047619047,27,0,0,0.0,21.0,5.0,,1,4,2,1,3,4,22,3,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.3324050632911392,240.7291666666667,0.02185792349726776,0.0,0.01366120218579235,2.076923076923077,0,1,0
372,2,363.6000000000001,30.300000000000008,19.81780650186732,75.60000000000001,136,11.333333333333334,0,373,2,13,12,0.0,11,0,1,0.0833333333333333,42.0,1.0,5.0,3,2,2,4,2,10,26,1,112,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0.3324050632911392,181.80000000000004,372.0,0.3333333333333333,1.0,3.6666666666666665,0,1,1
7,2,379.8299999999999,7.166603773584904,4.222276520203575,17.0,185,3.490566037735849,365,373,2,13,12,7.019230769230769,48,0,0,0.0,,1.0,,0,2,2,1,1,9,17,4,94,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.3324050632911392,189.91499999999996,0.01912568306010929,0.0,0.00273224043715847,16.0,0,1,0
373,1,487.75,18.064814814814813,4.12512971392357,26.1,160,5.925925925925926,0,373,2,14,12,0.0,27,0,0,0.0,,3.0,1.0,0,2,3,4,2,9,3,4,212,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.3324050632911392,487.75,373.0,0.0,3.0,13.5,0,1,1
1,248,132572.62,22.45851600880908,56.724447630901416,1687.17,77180,13.074707775707267,372,373,3,14,11,0.047610979329041,1794,2,226,0.0382856174826359,67.0,2.0,,6,4,3,1,2,4,18,6,218,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0.3333333333333333,534.5670161290323,0.002680965147453083,0.9076305220883534,0.005361930294906166,7.204819277108434,0,1,0
